alpha3,lon,lat,capacity,treatment_type
SVK,17.41,48.6,614,secondary
NLD,5.267,51.816,57751,tertiary
SVK,17.49,48.13,1098,secondary
NLD,6.024,51.866,2741,tertiary
SVK,20.24,48.62,684,tertiary
NLD,5.533,51.958,6608,tertiary
SVK,20.42,49.13,41882,tertiary
NLD,5.211,52.088,48483,tertiary
NLD,5.175,52.119,55150,tertiary
SVK,19.91,48.59,1673,secondary
NLD,5.261,52.047,27000,tertiary
SVK,19.85,48.56,686,secondary
SVK,18.14,47.76,26467,tertiary
NLD,5.107,52.111,247883,tertiary
NLD,5.298,52.196,70450,tertiary
NLD,5.044,52.121,38867,tertiary
SVK,21.33,48.65,206714,tertiary
NLD,5.003,52.09,22533,tertiary
NLD,5.447,52.09,29767,tertiary
SVK,21.3,48.73,646,secondary
NLD,5.523,52.039,70700,tertiary
NLD,4.939,52.043,12933,tertiary
SVK,21.17,48.62,2953,tertiary
NLD,5.22,52.064,27133,tertiary
NLD,5.353,52.174,172867,tertiary
NLD,5.073,52.005,90400,tertiary
SVK,17.77,48.6,5718,secondary
NLD,5.309,51.972,26317,tertiary
NLD,5.04,52.153,12300,tertiary
SVK,20.59,48.65,2278,tertiary
NLD,4.994,52.165,20500,tertiary
NLD,4.856,52.02,13133,tertiary
SVK,20.9,48.92,4114,secondary
NLD,4.884,52.213,32717,tertiary
NLD,5.532,51.974,32933,tertiary
SVK,19.07,48.34,451,secondary
NLD,5.131,52.029,43000,tertiary
NLD,5.007,52.225,7250,tertiary
NLD,4.96,51.971,16683,tertiary
SVK,18.28,49.04,131,secondary
NLD,5.202,52.226,57150,tertiary
NLD,4.89,52.314,113900,tertiary
SVK,18.29,49.07,2097,secondary
NLD,4.833,52.24,31550,tertiary
NLD,5.247,52.265,25083,tertiary
SVK,18.59,48.7,1602,secondary
NLD,5.019,52.326,35467,tertiary
NLD,5.242,52.31,48267,tertiary
SVK,17.79,48.43,5189,tertiary
NLD,5.083,52.262,101283,tertiary
NLD,4.787,52.4,760217,tertiary
SVK,18.6,48.18,55037,tertiary
NLD,4.722,52.596,40300,tertiary
NLD,4.742,52.643,53950,tertiary
SVK,20.58,49.01,9446,tertiary
NLD,4.861,52.431,91917,tertiary
NLD,4.776,53.078,20700,tertiary
SVK,20.1,48.98,140,secondary
NLD,4.738,52.696,163700,tertiary
NLD,4.916,52.52,97617,tertiary
SVK,17.03,48.34,4581,tertiary
NLD,5.031,52.484,59967,tertiary
NLD,5.032,52.929,7983,tertiary
SVK,19.68,48.32,19748,tertiary
NLD,4.737,52.809,34200,tertiary
NLD,5.136,52.734,200783,tertiary
NLD,4.668,52.476,158533,tertiary
NLD,4.791,52.932,61317,tertiary
SVK,19.4,49.1,1198,secondary
NLD,4.887,52.636,30433,tertiary
NLD,5.023,52.836,10683,tertiary
SVK,19.41,49.13,1697,secondary
NLD,4.995,52.581,5283,tertiary
NLD,4.66,52.46,75283,secondary
SVK,17.0,48.44,15797,tertiary
NLD,4.638,52.345,20767,tertiary
NLD,4.74,52.363,100917,tertiary
NLD,4.668,52.399,161250,tertiary
SVK,18.92,49.12,43289,tertiary
NLD,4.725,52.273,8917,tertiary
NLD,4.669,52.37,51617,tertiary
NLD,4.447,52.222,48617,tertiary
SVK,20.92,48.69,950,tertiary
NLD,4.708,52.165,2517,tertiary
NLD,4.654,52.221,7000,tertiary
NLD,4.627,52.17,3800,tertiary
SVK,21.91,49.25,2806,tertiary
NLD,4.474,52.138,79067,tertiary
NLD,4.564,52.247,22267,tertiary
SVK,21.92,48.73,44071,tertiary
NLD,4.675,52.139,37467,tertiary
NLD,4.666,52.191,833,tertiary
SVK,17.32,48.32,5854,tertiary
NLD,4.705,52.199,2150,tertiary
NLD,4.759,52.189,23233,tertiary
SVK,20.99,48.6,5419,secondary
NLD,4.713,52.003,61717,tertiary
NLD,4.601,52.102,4617,tertiary
SVK,17.52,48.75,8524,tertiary
NLD,4.44,52.203,101400,tertiary
SVK,19.49,49.41,13585,tertiary
NLD,4.735,52.083,46500,tertiary
NLD,4.577,52.173,3550,tertiary
NLD,4.607,52.305,83833,tertiary
SVK,18.11,48.96,5080,secondary
NLD,4.777,52.269,24850,tertiary
NLD,4.496,52.176,77383,tertiary
SVK,18.11,47.92,1089,secondary
NLD,4.611,52.214,19417,tertiary
NLD,4.666,52.058,41213,tertiary
SVK,18.11,48.27,135228,tertiary
NLD,4.627,52.129,30617,tertiary
NLD,4.855,52.087,41817,tertiary
SVK,19.5,49.31,19420,secondary
NLD,5.039,52.114,50333,tertiary
SVK,18.63,48.4,5724,secondary
NLD,4.153,51.967,49235,tertiary
NLD,4.267,52.089,268976,tertiary
NLD,4.301,51.901,135286,tertiary
SVK,18.13,47.98,42715,tertiary
NLD,4.319,52.017,720980,tertiary
NLD,4.631,51.973,70980,tertiary
NLD,4.542,51.91,220259,tertiary
SVK,19.19,49.37,566,secondary
NLD,4.602,51.93,40274,tertiary
NLD,4.788,51.942,5884,tertiary
SVK,18.34,48.62,34892,tertiary
NLD,4.806,51.931,1370,tertiary
SVK,22.04,48.62,5604,tertiary
NLD,4.767,51.981,4968,tertiary
NLD,4.621,51.874,50117,tertiary
SVK,17.82,48.56,29798,tertiary
NLD,4.703,51.827,27903,tertiary
NLD,4.658,51.888,7431,tertiary
SVK,16.98,48.37,604,secondary
NLD,4.673,51.851,20450,tertiary
NLD,4.839,51.823,9311,tertiary
SVK,20.55,49.27,1648,secondary
NLD,5.098,52.0,22282,tertiary
SVK,19.78,48.43,3112,secondary
NLD,4.117,51.918,13667,tertiary
SVK,20.29,49.05,96029,tertiary
NLD,4.176,51.844,52417,tertiary
SVK,18.42,49.13,21740,tertiary
NLD,4.562,51.746,10383,tertiary
SVK,20.91,48.82,2870,secondary
NLD,4.691,51.813,131067,tertiary
SVK,21.24,48.95,81618,tertiary
NLD,4.43,51.829,49167,tertiary
NLD,3.996,51.825,16733,tertiary
NLD,4.8,51.831,32138,tertiary
SVK,18.59,48.76,47895,tertiary
NLD,4.597,51.898,41271,tertiary
SVK,18.28,49.15,235,secondary
NLD,4.347,51.799,4700,tertiary
NLD,4.179,51.77,26417,tertiary
SVK,18.31,49.1,13639,secondary
SVK,18.64,49.1,7692,tertiary
NLD,4.18,51.685,9500,tertiary
SVK,20.13,48.67,9201,tertiary
NLD,4.228,51.919,10550,tertiary
NLD,4.517,51.894,336683,tertiary
SVK,20.03,48.37,43006,tertiary
NLD,4.249,51.869,7733,tertiary
SVK,20.51,48.64,11422,tertiary
NLD,5.088,51.892,35171,tertiary
SVK,19.24,49.1,421522,secondary
NLD,4.858,51.936,22646,tertiary
SVK,21.1,49.08,19242,tertiary
NLD,4.432,51.721,13967,tertiary
SVK,18.94,48.07,4619,tertiary
NLD,4.785,52.004,3822,tertiary
SVK,17.9,48.15,15692,tertiary
NLD,4.713,51.937,3736,tertiary
NLD,4.334,51.875,54233,tertiary
SVK,17.9,48.15,9107,tertiary
NLD,4.266,51.725,2267,tertiary
SVK,17.32,48.01,15247,tertiary
NLD,4.358,51.673,2600,tertiary
SVK,21.68,48.7,2234,tertiary
NLD,4.936,51.845,36225,tertiary
SVK,17.42,48.2,13915,tertiary
NLD,4.364,51.843,73600,tertiary
SVK,17.21,48.85,10146,tertiary
NLD,4.587,51.815,100033,tertiary
SVK,22.13,48.98,13830,tertiary
NLD,4.52,51.835,36683,tertiary
SVK,22.17,48.73,4450,tertiary
NLD,3.763,51.691,19199,tertiary
SVK,21.63,48.92,2523,tertiary
