scenario,year,alpha3,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
SSP2,2030,PSE,0.000,0.000,0.000,0.268,0.118,0.613,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.201,0.070,0.000,0.070,0.070,0.000,0.000,0.000,0.605,0.221,0.168,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.484,0.000,0.000,0.000,0.000
SSP2,2030,PYF,0.000,0.000,0.000,0.012,0.059,0.743,0.027,0.000,0.000,0.022,0.000,0.137,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.045,0.035,0.619,0.028,0.000,0.010,0.042,0.002,0.215,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP2,2030,QAT,0.000,0.000,0.000,0.000,0.125,0.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.877,0.000,0.000
SSP2,2030,REU,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.000
SSP2,2030,ROU,0.000,0.001,0.000,0.004,0.021,0.614,0.000,0.000,0.000,0.053,0.000,0.307,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.590,0.000,0.000,0.000,0.001,0.000,0.002,0.013,0.637,0.000,0.000,0.000,0.000,0.000,0.347,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.590,0.000,0.000
SSP2,2030,RUS,0.000,0.000,0.000,0.004,0.031,0.867,0.000,0.000,0.000,0.028,0.004,0.066,0.000,0.100,3.000,0.000,0.000,0.000,0.018,0.012,0.736,0.012,0.012,0.000,0.000,0.000,0.000,0.027,0.897,0.000,0.000,0.000,0.000,0.000,0.076,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.736,0.000,0.000
SSP2,2030,RWA,0.001,0.000,0.002,0.036,0.000,0.323,0.009,0.001,0.044,0.005,0.013,0.566,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.000,0.003,0.000,0.085,0.000,0.115,0.000,0.003,0.115,0.000,0.015,0.664,0.000,0.100,3.000,0.000,0.000,0.000,0.577,0.000,0.136,0.000,0.000
SSP2,2030,SAU,0.000,0.000,0.000,0.000,0.484,0.516,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.987,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.552,0.000,0.000
SSP2,2030,SDN,0.007,0.000,0.002,0.002,0.000,0.227,0.012,0.005,0.198,0.241,0.000,0.306,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.002,0.000,0.000,0.017,0.000,0.065,0.000,0.007,0.414,0.130,0.000,0.365,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
SSP2,2030,SEN,0.005,0.000,0.000,0.000,0.000,0.390,0.000,0.002,0.158,0.169,0.001,0.275,0.000,0.100,3.000,0.000,0.000,0.000,0.084,0.000,0.120,0.000,0.000,0.002,0.001,0.000,0.023,0.000,0.135,0.000,0.008,0.376,0.068,0.002,0.385,0.000,0.100,3.000,0.000,0.000,0.000,0.141,0.000,0.120,0.000,0.000
