alpha3,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,bucketLatrine_urb,hangingToilet_urb,openDefecation_urb,containerBased_urb,compostingToilet_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,bucketLatrine_rur,hangingToilet_rur,openDefecation_rur,containerBased_rur,compostingToilet_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur
GAB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.972,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.975,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0
GBR,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.949,0.000,0.000,0.000,0.100,3,0,0,0,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.029,0.949,0.029,0.029,0.029,0.100,3,0,0,0
GEO,0.910,0.000,0.000,0.024,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.100,3,0,0,0,0.085,0.000,0.000,0.175,0.000,0.739,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.376,0.030,0.000,0.000,0.000,0.100,3,0,0,0
GHA,0.015,0.186,0.023,0.002,0.001,0.209,0.033,0.000,0.000,0.118,0.000,0.002,0.410,0.132,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.002,0.026,0.007,0.000,0.000,0.240,0.069,0.000,0.005,0.368,0.000,0.001,0.299,0.183,0.018,0.000,0.000,0.000,0.100,3,0,0,0
GIN,0.010,0.234,0.059,0.004,0.002,0.649,0.040,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.013,0.004,0.000,0.001,0.317,0.511,0.001,0.003,0.149,0.000,0.001,0.000,0.000,0.010,0.000,0.000,0.000,0.100,3,0,0,0
GMB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.997,0.303,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.995,0.226,0.018,0.000,0.000,0.000,0.100,3,0,0,0
GNB,0.028,0.315,0.097,0.003,0.004,0.545,0.000,0.000,0.001,0.005,0.000,0.002,0.000,0.207,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.006,0.012,0.042,0.002,0.008,0.381,0.354,0.000,0.000,0.187,0.000,0.008,0.000,0.105,0.018,0.000,0.000,0.000,0.100,3,0,0,0
GRC,0.903,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.693,0.009,0.009,0.009,0.100,3,0,0,0,0.435,0.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.693,0.000,0.000,0.000,0.100,3,0,0,0
GRD,0.507,0.376,0.000,0.000,0.000,0.092,0.000,0.000,0.000,0.017,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.033,0.552,0.000,0.000,0.000,0.398,0.000,0.000,0.000,0.006,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
GTM,0.771,0.078,0.063,0.000,0.000,0.082,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.100,3,0,0,0,0.200,0.173,0.101,0.000,0.000,0.485,0.000,0.000,0.000,0.041,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.100,3,0,0,0
