region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedland;emptyFrequency;pitAdditive;urine;twinPits;warning
PSE;0.553;0.105;0.332;0.002;0.0;0.0;0.0;0.0;0.0;0.001;;0.0;0.007;0.2650727320170816;0.3818037834147086;0.054210731584725454;0.054210731584725454;0.054210731584725454;0.1;3;0;0;0;
PYF;0.192;0.782;0.0;0.026;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.06381607773852695;;;;0.1;3;0;0;0;
QAT;0.947;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.9993654508378802;0.0;0.0;0.0;0.1;3;0;0;0;
REU;0.498;0.46;0.028;0.0;0.0;0.014;0.0;0.0;0.0;0.0;;0.0;0.0;0.1255349480014331;0.5171189413748326;0.1242795985214188;0.1242795985214188;0.1242795985214188;0.1;3;0;0;0;
ROU;0.672;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.228;0.1597238381360073;0.556758921499056;0.1592859896275601;0.1592859896275601;0.1592859896275601;0.1;3;0;0;0;
RUS;0.726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.274;0.056122928469144524;0.5180258692353771;0.037894700203245806;0.037894700203245806;0.037894700203245806;0.1;3;0;0;0;
RWA;0.014;0.01;0.008;0.015;0.001;0.6930000000000001;0.232;0.0;0.0;0.026;;0.001;0.0;;;;;;0.1;3;0;0;0;
SAU;0.599;0.394;0.0;0.0;0.0;0.007;0.0;0.0;0.0;0.0;;0.0;0.0;0.06800806304912921;0.6673389579161904;0.06535023872104752;0.06535023872104752;0.06535023872104752;0.1;3;0;0;0;
SDN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.161;;0.0;0.839;;;;;;0.1;3;0;0;0;
SEN;0.0405;0.205;0.0505;0.0025;0.0;0.064;0.085;0.0;0.006;0.062;;0.004;0.4805;0.1132578762561753;0.027358145673365447;0.0;0.0;0.0;0.1;3;0;0;0;
SGP;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;3;0;0;0;
SLE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.145;;0.0;0.855;0.1521195764280479;0.0017549449121362982;0.0;0.0;0.0;0.1;3;0;0;0;
SLV;0.347;0.25;0.0;0.0;0.0;0.325;0.0;0.0;0.0;0.012;;0.066;0.0;;0.01768713222085416;;;;0.1;3;0;0;0;
SMR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0375;0.8279000000000001;0.036525;0.036525;0.036525;0.1;3;0;0;0;
SOM;0.061;0.044;0.178;0.008;0.006;0.315;0.175;0.02;0.004;0.18;;0.0;0.009;0.30507782698035824;0.020542701665003583;0.0;0.0;0.0;0.1;3;0;0;0;
SRB;0.582;0.373;0.002;0.012;0.0;0.029;0.001;0.0;0.0;0.001;;0.0;0.0;0.1381793127213502;0.09160812125609645;0.02408696931230947;0.02408696931230947;0.02408696931230947;0.1;3;0;0;0;
SSD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.787;;0.0;0.213;;;;;;0.1;3;0;0;0;
STP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.207;;0.0;0.793;0.2737012023124872;0.06633368444897973;0.0;0.0;0.0;0.1;3;0;0;0;
SUR;0.0;0.787;0.0;0.0;0.0;0.127;0.012;0.0;0.0;0.033;;0.0;0.041;0.24067216776994851;0.010924424915719851;0.0;0.0;0.0;0.1;3;0;0;0;
SVK;0.697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0840084183097548;0.658949763051875;0.08197583013006904;0.08197583013006904;0.08197583013006904;0.1;3;0;0;0;Does not add up to 100%
SVN;0.671;0.323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.09126633511162659;0.6718754685259171;0.07727261890574359;0.07727261890574359;0.07727261890574359;0.1;3;0;0;0;
SWE;0.891;0.102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.006;0.0045475019310213536;0.8802326888752132;0.07077967974580383;0.07077967974580383;0.07077967974580383;0.1;3;0;0;0;
SWZ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028;;0.0;0.972;;0.05099388630841539;;;;0.1;3;0;0;0;
SXM;0.1;0.425;0.0;0.0;0.462;0.0;0.0;0.0;0.0;0.002;;0.0;0.011;;;;;;0.1;3;0;0;0;
SYC;0.143;0.824;0.0;0.0;0.0;0.009;0.0;0.0;0.0;0.009;;0.0;0.015;;;;;;0.1;3;0;0;0;
SYR;0.862;0.129;0.0;0.008;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.001;;;;;;0.1;3;0;0;0;
TCA;0.0;0.907;0.026;0.0;0.033;0.022000000000000002;0.003;0.009;0.0;0.0;;0.0;0.0;0.3395235006098979;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
TCD;0.003;0.0095;0.002;0.0125;0.001;0.14350000000000002;0.118;0.0065;0.0225;0.6665000000000001;;0.0115;0.0035;0.10705307310195691;0.002068874505615828;0.0;0.0;0.0;0.1;3;0;0;0;
TGO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.357;;0.0;0.643;0.057159740643231996;0.000400996749470434;0.0;0.0;0.0;0.1;3;0;0;0;
THA;0.0;0.0;0.0;0.0;0.329;0.6699999999999999;0.0;0.0;0.0;0.001;;0.0;0.0;0.1915855299307075;0.07156661338590459;0.0;0.0;0.0;0.1;3;0;0;0;
TJK;0.127;0.002;0.026;0.001;0.0;0.835;0.003;0.004;0.0;0.0;;0.002;0.0;;;;;;0.1;3;0;0;0;
TKM;0.227;0.022;0.032;0.005;0.001;0.713;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
TLS;0.0;0.351;0.0;0.0;0.109;0.296;0.112;0.0;0.0;0.12;;0.0;0.012;;;;;;0.1;3;0;0;0;
TON;0.0;0.807;0.07;0.002;0.0;0.046;0.038;0.013;0.0;0.0;;0.003;0.021;0.30550946740428797;0.01497346092877984;0.0;0.0;0.0;0.1;3;0;0;0;
TTO;0.253;0.637;0.0;0.0;0.0;0.11;0.0;0.0;0.0;0.0;;0.0;0.0;;0.1890047884118966;;;;0.1;3;0;0;0;
TUN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005;;0.0;0.995;0.2114838482292872;0.5917696184820004;0.008039483686183554;0.008039483686183554;0.008039483686183554;0.1;3;0;0;0;
TUR;0.871;0.0;0.0;0.0;0.0;0.113;0.009;0.0;0.0;0.002;;0.0;0.003;0.05189948296998973;0.6909764846779979;0.04397861545646117;0.04397861545646117;0.04397861545646117;0.1;3;0;0;0;
TUV;0.469;0.424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.092;;0.0;0.015;0.3723225530360986;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
TZA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022;;0.0;0.978;0.2487880139733419;0.002359932000266318;0.0;0.0;0.0;0.1;3;0;0;0;
UGA;0.008;0.013;0.005;0.001;0.001;0.324;0.572;0.0;0.009;0.057;;0.01;0.001;0.1761302303254606;0.001830545369574226;0.0;0.0;0.0;0.1;3;0;0;0;
UKR;0.852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.148;0.2346846253934099;0.3314516603213994;0.1539927121391387;0.1539927121391387;0.1539927121391387;0.1;3;0;0;0;
URY;0.609;0.347;0.0;0.002;0.0;0.034;0.0;0.0;0.0;0.003;;0.0;0.006;;;;;;0.1;3;0;0;0;
USA;0.846;0.152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.002;0.0666033729839525;0.8381310472602977;0.0657248635222114;0.0657248635222114;0.0657248635222114;0.1;3;0;0;0;
VCT;0.027;0.679;0.0;0.0;0.0;0.252;0.0;0.0;0.0;0.033;;0.0;0.007;;;;;;0.1;3;0;0;0;
VEN;0.0;0.0;0.0;0.0;0.0;0.98;0.0;0.0;0.0;0.0;;0.0;0.0;0.02125216181275334;0.24386039249795602;0.005624384288536816;0.005624384288536816;0.005624384288536816;0.1;3;0;0;0;
VGB;0.32;0.64;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;;0.0;0.03;;;;;;0.1;3;0;0;0;
VIR;0.425;0.561;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.014;;;;;;0.1;3;0;0;0;
VNM;0.045;0.777;0.05;0.006;0.002;0.034;0.008;0.002;0.033;0.026;;0.015;0.005;0.4196482928155069;0.01693818671670127;0.0;0.0;0.0;0.1;3;0;0;0;
VUT;0.037;0.123;0.024;0.002;0.0;0.33999999999999997;0.188;0.0;0.0;0.019;;0.0;0.267;;0.0;;;;0.1;3;0;0;0;
WLF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
