alpha-3,context,bucketLatrine,compostingToilet,flushOpen,flushPit,flushSeptic,flushSewer,flushUnknown,hangingToilet,openDefecation,other,pitNoSlab,pitSlab,onsiteDumpedLand,emptyFrequency,pitAdditive,urine,twinPits
LUX,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
LVA,Rural,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.1,3,0,0,0
LVA,Urban,0.0,0.0,0.0,0.0,0.0,0.969,0.0,0.0,0.0,0.031,0.0,0.0,0.1,3,0,0,0
MAR,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,3,0,0,0
MAR,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.999,0.0,0.0,0.1,3,0,0,0
MDA,Rural,0.0,0.0,0.0,0.0,0.608,0.029,0.0,0.0,0.0,0.363,0.0,0.0,0.1,3,0,0,0
MDA,Urban,0.0,0.0,0.0,0.0,0.178,0.786,0.0,0.0,0.0,0.036,0.0,0.0,0.1,3,0,0,0
MDG,Rural,0.0,0.0,0.001,0.002,0.014,0.003,0.0,0.002,0.384,0.0,0.344,0.25,0.1,3,0,0,0
MDG,Urban,0.01,0.001,0.003,0.018,0.2012,0.026,0.003,0.004,0.1321,0.004,0.2823,0.3153,0.1,3,0,0,0
MDV,Rural,0.0,0.0,0.0,0.0,0.49,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
MDV,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
MEX,Rural,0.0,0.0,0.016,0.0,0.5281,0.4068,0.0,0.0,0.021,0.002,0.0,0.0261,0.1,3,0,0,0
MEX,Urban,0.0,0.0,0.007,0.0,0.076,0.909,0.0,0.0,0.002,0.002,0.0,0.004,0.1,3,0,0,0
MHL,Rural,0.0689,0.005,0.028,0.02,0.6444,0.029,0.023,0.0,0.1728,0.0,0.009,0.0,0.1,3,0,0,0
MHL,Urban,0.031,0.0,0.0,0.003,0.151,0.753,0.001,0.0,0.059,0.0,0.0,0.002,0.1,3,0,0,0
MKD,Rural,0.0,0.0,0.054,0.017,0.309,0.529,0.011,0.0,0.001,0.002,0.018,0.059,0.1,3,0,0,0
MKD,Urban,0.0,0.0,0.0,0.0,0.007,0.988,0.0,0.0,0.0,0.002,0.0,0.003,0.1,3,0,0,0
MLI,Rural,0.0,0.009,0.0,0.001,0.002,0.0,0.0,0.0251,0.1122,0.0,0.4519,0.3988,0.1,3,0,0,0
MLI,Urban,0.0,0.001,0.006,0.0849,0.1149,0.0509,0.003,0.02,0.008,0.0,0.0589,0.6523,0.1,3,0,0,0
MLT,Rural,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
MLT,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
MMR,Rural,0.0,0.0,0.011,0.6577,0.1577,0.003,0.001,0.01,0.0659,0.002,0.021,0.0709,0.1,3,0,0,0
MMR,Urban,0.0,0.0,0.005,0.4204,0.4364,0.0831,0.001,0.003,0.006,0.002,0.004,0.039,0.1,3,0,0,0
MNE,Rural,0.0,0.0,0.0679,0.014,0.6843,0.2098,0.002,0.0,0.002,0.0,0.003,0.017,0.1,3,0,0,0
MNE,Urban,0.0,0.0,0.004,0.005,0.3784,0.5976,0.004,0.0,0.0,0.004,0.0,0.007,0.1,3,0,0,0
MNG,Rural,0.0,0.003,0.0,0.001,0.005,0.0409,0.005,0.0,0.0729,0.001,0.0868,0.7844,0.1,3,0,0,0
MNG,Urban,0.0,0.006,0.0,0.002,0.017,0.3874,0.014,0.0,0.001,0.002,0.006,0.5646,0.1,3,0,0,0
MNP,Rural,0.0,0.0,0.0,0.0,0.621,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
MNP,Urban,0.0,0.0,0.0,0.0,0.423,0.536,0.0,0.0,0.0,0.041,0.0,0.0,0.1,3,0,0,0
MOZ,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.393,0.0,0.0,0.591,0.1,3,0,0,0
MOZ,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.119,0.0,0.0,0.608,0.1,3,0,0,0
MRT,Rural,0.0,0.017,0.016,0.135,0.109,0.016,0.002,0.005,0.588,0.002,0.039,0.071,0.1,3,0,0,0
MRT,Urban,0.0,0.014,0.0529,0.3516,0.2298,0.1079,0.002,0.007,0.0609,0.002,0.022,0.1499,0.1,3,0,0,0
MSR,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
MSR,Urban,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.8333,0.1,3,0,0,0
MTQ,Rural,0.0,0.0,0.0,0.102,0.24,0.114,0.0,0.0,0.0,0.002,0.0,0.542,0.1,3,0,0,0
MTQ,Urban,0.0,0.0,0.0,0.044,0.426,0.411,0.0,0.0,0.0,0.016,0.0,0.103,0.1,3,0,0,0
MUS,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.1,3,0,0,0
MUS,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.997,0.0,0.0,0.1,3,0,0,0
MWI,Rural,0.0,0.002,0.0,0.001,0.005,0.003,0.0,0.003,0.0769,0.006,0.1349,0.7682,0.1,3,0,0,0
MWI,Urban,0.0,0.005,0.0,0.003,0.1063,0.005,0.0,0.001,0.013,0.001,0.0642,0.8014,0.1,3,0,0,0
MYS,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.0,0.0,0.011,0.0,0.0,0.1,3,0,0,0
MYS,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.001,0.0,0.0,0.1,3,0,0,0
NAM,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552,0.448,0.0,0.0,0.1,3,0,0,0
NAM,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.854,0.0,0.0,0.1,3,0,0,0
NER,Rural,0.0,0.001,0.002,0.01,0.003,0.002,0.0,0.045,0.754,0.009,0.126,0.048,0.1,3,0,0,0
NER,Urban,0.0,0.001,0.011,0.1508,0.0939,0.047,0.004,0.013,0.0829,0.007,0.1269,0.4625,0.1,3,0,0,0
NGA,Rural,0.004,0.016,0.008,0.0762,0.0872,0.0311,0.004,0.008,0.3066,0.0281,0.1844,0.2465,0.1,3,0,0,0
NGA,Urban,0.004,0.026,0.012,0.1339,0.3616,0.0869,0.009,0.01,0.0759,0.01,0.0779,0.1928,0.1,3,0,0,0
NIC,Rural,0.0,0.0,0.0,0.0,0.023,0.003,0.0,0.0,0.176,0.0,0.0,0.798,0.1,3,0,0,0
NIC,Urban,0.0,0.0,0.002,0.0,0.106,0.353,0.0,0.0,0.014,0.0,0.0,0.525,0.1,3,0,0,0
NLD,Rural,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
NLD,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
NOR,Rural,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
NOR,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
NPL,Rural,0.0,0.014,0.007,0.3347,0.4915,0.025,0.002,0.0,0.0669,0.002,0.004,0.0529,0.1,3,0,0,0
NPL,Urban,0.0,0.014,0.006,0.2042,0.5506,0.1441,0.002,0.0,0.042,0.003,0.001,0.033,0.1,3,0,0,0
NZL,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
NZL,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
OMN,Rural,0.0,0.0,0.0,0.0,0.954,0.027,0.0,0.0,0.0,0.019,0.0,0.0,0.1,3,0,0,0
OMN,Urban,0.0,0.0,0.0,0.0,0.6344,0.3636,0.0,0.0,0.0,0.002,0.0,0.0,0.1,3,0,0,0
PAK,Rural,0.01,0.0,0.0569,0.1489,0.3646,0.1469,0.007,0.0,0.2078,0.006,0.02,0.032,0.1,3,0,0,0
PAK,Urban,0.001,0.0,0.0531,0.0421,0.2285,0.6343,0.005,0.0,0.024,0.002,0.003,0.007,0.1,3,0,0,0
PAN,Rural,0.0,0.0,0.0,0.0,0.476,0.0699,0.0,0.0,0.1018,0.023,0.0,0.3293,0.1,3,0,0,0
PAN,Urban,0.0,0.0,0.0,0.0,0.4681,0.4192,0.0,0.0,0.021,0.012,0.0,0.0798,0.1,3,0,0,0
PER,Rural,0.0,0.0,0.012,0.0,0.1848,0.2288,0.0,0.0,0.1329,0.0659,0.2488,0.1269,0.1,3,0,0,0
PER,Urban,0.0,0.0,0.009,0.0,0.014,0.872,0.0,0.0,0.011,0.025,0.061,0.008,0.1,3,0,0,0
PHL,Rural,0.001,0.002,0.013,0.1786,0.6387,0.0499,0.003,0.008,0.0559,0.006,0.004,0.0399,0.1,3,0,0,0
PHL,Urban,0.001,0.001,0.01,0.056,0.782,0.118,0.002,0.002,0.016,0.002,0.001,0.009,0.1,3,0,0,0
PLW,Rural,0.0,0.0,0.0,0.0,0.0,0.6446,0.2032,0.0,0.0,0.004,0.0,0.1481,0.1,3,0,0,0
PLW,Urban,0.0,0.0,0.0,0.0,0.0,0.887,0.087,0.0,0.0,0.003,0.0,0.023,0.1,3,0,0,0
PNG,Rural,0.0,0.001,0.0,0.002,0.025,0.044,0.0,0.004,0.033,0.0,0.392,0.499,0.1,3,0,0,0
PNG,Urban,0.0,0.0,0.0,0.002,0.098,0.456,0.0,0.0,0.002,0.0,0.097,0.345,0.1,3,0,0,0
POL,Rural,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.0,0.0,0.578,0.0,0.0,0.1,3,0,0,0
POL,Urban,0.0,0.0,0.0,0.0,0.0,0.905,0.0,0.0,0.0,0.095,0.0,0.0,0.1,3,0,0,0
PRK,Rural,0.0,0.0,0.001,0.039,0.1449,0.0949,0.0,0.0,0.0,0.0,0.2757,0.4446,0.1,3,0,0,0
PRK,Urban,0.0,0.0,0.001,0.019,0.0639,0.6713,0.0,0.0,0.0,0.0,0.0829,0.1618,0.1,3,0,0,0
PRT,Rural,0.0,0.0,0.0,0.0,0.27,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
PRT,Urban,0.0,0.0,0.0,0.0,0.071,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
PRY,Rural,0.0,0.0,0.001,0.302,0.422,0.005,0.0,0.0,0.009,0.0,0.0,0.261,0.1,3,0,0,0
PRY,Urban,0.0,0.0,0.009,0.2262,0.6106,0.1221,0.0,0.0,0.004,0.0,0.0,0.028,0.1,3,0,0,0
PSE,Rural,0.0,0.0,0.0,0.625,0.216,0.153,0.0,0.0,0.004,0.002,0.0,0.0,0.1,3,0,0,0
PSE,Urban,0.0,0.0,0.0,0.275,0.122,0.602,0.0,0.0,0.001,0.0,0.0,0.0,0.1,3,0,0,0
REU,Rural,0.0,0.0,0.0,0.0792,0.8226,0.016,0.0,0.0,0.0,0.009,0.0,0.0731,0.1,3,0,0,0
REU,Urban,0.0,0.0,0.0,0.045,0.525,0.404,0.0,0.0,0.0,0.006,0.0,0.02,0.1,3,0,0,0
ROU,Rural,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.59,0.0,0.0,0.1,3,0,0,0
ROU,Urban,0.0,0.0,0.0,0.0,0.0,0.874,0.0,0.0,0.0,0.126,0.0,0.0,0.1,3,0,0,0
RUS,Rural,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.0,0.0,0.783,0.0,0.0,0.1,3,0,0,0
RUS,Urban,0.0,0.0,0.0,0.0,0.0,0.905,0.0,0.0,0.0,0.095,0.0,0.0,0.1,3,0,0,0
RWA,Rural,0.0,0.001,0.011,0.005,0.003,0.005,0.001,0.0,0.029,0.0,0.263,0.682,0.1,3,0,0,0
RWA,Urban,0.0,0.001,0.0359,0.021,0.0469,0.0599,0.002,0.0,0.01,0.0,0.0768,0.7465,0.1,3,0,0,0
SAU,Rural,0.0,0.0,0.002,0.022,0.5005,0.4555,0.001,0.0,0.0,0.002,0.0,0.017,0.1,3,0,0,0
SAU,Urban,0.0,0.0,0.002,0.007,0.2172,0.7738,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
SDN,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.798,0.0,0.0,0.1,3,0,0,0
SDN,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.923,0.0,0.0,0.1,3,0,0,0
SEN,Rural,0.0,0.008,0.008,0.139,0.245,0.015,0.001,0.016,0.137,0.005,0.26,0.166,0.1,3,0,0,0
SEN,Urban,0.001,0.007,0.001,0.049,0.629,0.168,0.0,0.008,0.009,0.0,0.049,0.079,0.1,3,0,0,0
SLB,Rural,0.0,0.024,0.004,0.027,0.0731,0.018,0.011,0.006,0.6236,0.001,0.0,0.2122,0.1,3,0,0,0
SLB,Urban,0.0,0.005,0.014,0.0739,0.4496,0.1409,0.025,0.003,0.1179,0.002,0.0,0.1688,0.1,3,0,0,0
SLE,Rural,0.001,0.001,0.003,0.034,0.025,0.0,0.0,0.029,0.354,0.025,0.19,0.338,0.1,3,0,0,0
SLE,Urban,0.004,0.0,0.005,0.1011,0.1532,0.029,0.001,0.048,0.037,0.018,0.0561,0.5475,0.1,3,0,0,0
SLV,Rural,0.0,0.131,0.0,0.0,0.274,0.016,0.0,0.0,0.029,0.0,0.0,0.55,0.1,3,0,0,0
SLV,Urban,0.0,0.025,0.0,0.0,0.235,0.553,0.0,0.0,0.002,0.0,0.0,0.185,0.1,3,0,0,0
SOM,Rural,0.011,0.0,0.009,0.1249,0.022,0.027,0.007,0.002,0.4396,0.019,0.1568,0.1818,0.1,3,0,0,0
SOM,Urban,0.0259,0.0,0.007,0.2076,0.0569,0.0808,0.005,0.006,0.0309,0.004,0.1846,0.3912,0.1,3,0,0,0
SRB,Rural,0.0,0.0,0.026,0.005,0.7243,0.1818,0.001,0.0,0.0,0.0,0.001,0.0609,0.1,3,0,0,0
SRB,Urban,0.0,0.0,0.002,0.0,0.1231,0.8689,0.0,0.0,0.001,0.0,0.0,0.005,0.1,3,0,0,0
SSD,Rural,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,0.006,0.1202,0.0651,0.1,3,0,0,0
SSD,Urban,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.5403,0.0323,0.1774,0.2339,0.1,3,0,0,0
STP,Rural,0.001,0.0,0.018,0.009,0.049,0.1279,0.001,0.0,0.5105,0.008,0.012,0.2637,0.1,3,0,0,0
STP,Urban,0.002,0.0,0.025,0.006,0.082,0.184,0.001,0.0,0.427,0.005,0.015,0.253,0.1,3,0,0,0
SUR,Rural,0.004,0.005,0.008,0.0561,0.5936,0.018,0.014,0.0,0.0751,0.017,0.0651,0.1441,0.1,3,0,0,0
SUR,Urban,0.0,0.001,0.002,0.014,0.9208,0.0251,0.005,0.0,0.001,0.001,0.008,0.022,0.1,3,0,0,0
SVK,Rural,0.0,0.0,0.0,0.0,0.0,0.974,0.0,0.0,0.0,0.026,0.0,0.0,0.1,3,0,0,0
SVK,Urban,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.002,0.0,0.0,0.1,3,0,0,0
SVN,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.997,0.1,3,0,0,0
SVN,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.1,3,0,0,0
SWE,Rural,0.0,0.0,0.0,0.0,0.2408,0.7473,0.0,0.0,0.0,0.012,0.0,0.0,0.1,3,0,0,0
SWE,Urban,0.0,0.0,0.0,0.0,0.093,0.901,0.0,0.0,0.0,0.006,0.0,0.0,0.1,3,0,0,0
SWZ,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.971,0.0,0.0,0.1,3,0,0,0
SWZ,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.975,0.0,0.0,0.1,3,0,0,0
SYR,Rural,0.0,0.0,0.012,0.0,0.1878,0.7982,0.0,0.0,0.0,0.002,0.0,0.0,0.1,3,0,0,0
SYR,Urban,0.0,0.0,0.0,0.0,0.007,0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
TCA,Rural,0.004,0.0,0.0,0.027,0.8501,0.0,0.002,0.0,0.002,0.003,0.014,0.0979,0.1,3,0,0,0
TCA,Urban,0.009,0.0,0.0,0.026,0.91,0.0,0.034,0.0,0.0,0.0,0.003,0.018,0.1,3,0,0,0
TCD,Rural,0.014,0.02,0.026,0.001,0.001,0.003,0.003,0.038,0.7708,0.007,0.0741,0.042,0.1,3,0,0,0
TCD,Urban,0.009,0.0329,0.0209,0.016,0.0189,0.0169,0.002,0.0768,0.1705,0.008,0.1645,0.4636,0.1,3,0,0,0
TGO,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.504,0.0,0.0,0.1,3,0,0,0
TGO,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.849,0.0,0.0,0.1,3,0,0,0
THA,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.0,0.001,0.0,0.0,0.706,0.1,3,0,0,0
THA,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.0,0.001,0.0,0.0,0.587,0.1,3,0,0,0
TJK,Rural,0.005,0.002,0.0,0.02,0.002,0.005,0.0,0.001,0.0,0.0,0.004,0.961,0.1,3,0,0,0
TJK,Urban,0.0,0.002,0.001,0.044,0.003,0.5035,0.0,0.0,0.0,0.0,0.001,0.4454,0.1,3,0,0,0
TKM,Rural,0.0,0.0,0.006,0.026,0.009,0.0,0.001,0.0,0.0,0.0,0.0,0.958,0.1,3,0,0,0
TKM,Urban,0.0,0.0,0.005,0.04,0.038,0.521,0.0,0.0,0.0,0.0,0.0,0.396,0.1,3,0,0,0
TLS,Rural,0.0,0.0,0.0,0.0,0.3257,0.0,0.1199,0.0,0.1439,0.014,0.1199,0.2767,0.1,3,0,0,0
TLS,Urban,0.0,0.0,0.0,0.0,0.432,0.0,0.076,0.0,0.044,0.007,0.086,0.355,0.1,3,0,0,0
TON,Rural,0.0,0.012,0.009,0.0,0.9229,0.0,0.0,0.0,0.002,0.002,0.004,0.048,0.1,3,0,0,0
TON,Urban,0.0,0.001,0.003,0.0,0.994,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.1,3,0,0,0
TTO,Rural,0.0,0.0,0.0,0.0,0.833,0.028,0.0,0.0,0.0,0.001,0.004,0.134,0.1,3,0,0,0
TTO,Urban,0.0,0.0,0.001,0.0,0.611,0.318,0.007,0.0,0.001,0.002,0.012,0.048,0.1,3,0,0,0
TUN,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.988,0.0,0.0,0.1,3,0,0,0
TUN,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.1,3,0,0,0
TUR,Rural,0.0,0.0,0.0,0.0,0.0,0.572,0.0,0.0,0.004,0.009,0.028,0.387,0.1,3,0,0,0
TUR,Urban,0.0,0.0,0.0,0.0,0.0,0.971,0.0,0.0,0.001,0.001,0.002,0.025,0.1,3,0,0,0
TUV,Rural,0.045,0.0,0.0,0.048,0.873,0.001,0.0,0.0,0.024,0.004,0.002,0.003,0.1,3,0,0,0
TUV,Urban,0.017,0.013,0.005,0.02,0.924,0.002,0.0,0.0,0.017,0.0,0.002,0.0,0.1,3,0,0,0
TZA,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.968,0.0,0.0,0.1,3,0,0,0
TZA,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.1,3,0,0,0
UGA,Rural,0.0,0.011,0.0,0.004,0.002,0.002,0.001,0.005,0.0669,0.001,0.6284,0.2787,0.1,3,0,0,0
UGA,Urban,0.0,0.003,0.006,0.011,0.0661,0.0361,0.003,0.0301,0.007,0.0,0.2886,0.5491,0.1,3,0,0,0
UKR,Rural,0.0,0.0,0.0,0.0,0.0,0.642,0.0,0.0,0.0,0.358,0.0,0.0,0.1,3,0,0,0
UKR,Urban,0.0,0.0,0.0,0.0,0.0,0.953,0.0,0.0,0.0,0.047,0.0,0.0,0.1,3,0,0,0
URY,Rural,0.0,0.0,0.011,0.0,0.8749,0.007,0.0,0.0,0.007,0.01,0.0,0.0901,0.1,3,0,0,0
URY,Urban,0.0,0.0,0.001,0.0,0.3157,0.6444,0.0,0.0,0.003,0.005,0.0,0.031,0.1,3,0,0,0
USA,Rural,0.0,0.0,0.0,0.0,0.5676,0.4174,0.0,0.0,0.0,0.015,0.0,0.0,0.1,3,0,0,0
USA,Urban,0.0,0.0,0.0,0.0,0.045,0.954,0.0,0.0,0.0,0.001,0.0,0.0,0.1,3,0,0,0
UZB,Rural,0.0,0.0,0.013,0.092,0.004,0.018,0.002,0.001,0.0,0.001,0.067,0.802,0.1,3,0,0,0
UZB,Urban,0.0,0.0,0.014,0.0709,0.004,0.3287,0.002,0.0,0.0,0.002,0.029,0.5495,0.1,3,0,0,0
VCT,Rural,0.0,0.0,0.0,0.0,0.602,0.021,0.0,0.0,0.048,0.006,0.0,0.323,0.1,3,0,0,0
VCT,Urban,0.0,0.0,0.0,0.0,0.769,0.034,0.0,0.0,0.016,0.008,0.0,0.173,0.1,3,0,0,0
VEN,Rural,0.0,0.0,0.0,0.0,0.526,0.097,0.044,0.0,0.282,0.0,0.0,0.051,0.1,3,0,0,0
VEN,Urban,0.0,0.0,0.0,0.0,0.1792,0.7768,0.008,0.0,0.027,0.0,0.0,0.009,0.1,3,0,0,0
VNM,Rural,0.003,0.022,0.007,0.0579,0.7313,0.03,0.001,0.045,0.038,0.004,0.011,0.05,0.1,3,0,0,0
VNM,Urban,0.001,0.001,0.003,0.035,0.8639,0.0741,0.002,0.01,0.004,0.003,0.001,0.002,0.1,3,0,0,0
VUT,Rural,0.0,0.044,0.0,0.029,0.0759,0.0,0.023,0.0,0.0,0.001,0.2488,0.5784,0.1,3,0,0,0
VUT,Urban,0.0,0.005,0.0,0.114,0.718,0.0,0.008,0.0,0.0,0.0,0.035,0.12,0.1,3,0,0,0
WSM,Rural,0.0,0.0,0.0,0.034,0.844,0.072,0.006,0.0,0.001,0.008,0.013,0.022,0.1,3,0,0,0
WSM,Urban,0.0,0.0,0.0,0.007,0.8968,0.0852,0.002,0.0,0.0,0.001,0.003,0.005,0.1,3,0,0,0
YEM,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.634,0.0,0.235,0.1,3,0,0,0
YEM,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.255,0.0,0.729,0.1,3,0,0,0
ZAF,Rural,0.003,0.001,0.0,0.0,0.0671,0.049,0.0,0.0,0.014,0.003,0.0,0.8629,0.1,3,0,0,0
ZAF,Urban,0.01,0.0,0.0,0.0,0.02,0.853,0.0,0.0,0.003,0.002,0.0,0.112,0.1,3,0,0,0
ZWE,Rural,0.0,0.001,0.002,0.002,0.04,0.011,0.0,0.0,0.3133,0.001,0.1321,0.4975,0.1,3,0,0,0
ZWE,Urban,0.0,0.001,0.001,0.007,0.0951,0.8458,0.001,0.0,0.007,0.0,0.007,0.035,0.1,3,0,0,0
