region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedLand;emptyFrequency;pitAdditive;urine;twinPits;warning
HTI;0.0;0.0;0.0;0.0;0.0;0.738;0.049;0.0;0.0;0.108;;0.0;0.0;;;;;;0.1;3;0;0;0;Does not add up to 100%
HUN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.02035603408994569;0.864762443106687;0.02035603408994569;0.02035603408994569;0.02035603408994569;0.1;3;0;0;0;
IDN;0.0;0.814;0.0;0.0;0.0;0.086;0.0;0.0;0.0;0.049;;0.0;0.0;;;;;;0.1;3;0;0;0;
IND;0.253;0.533;0.072;0.014;0.003;0.043;0.005;0.0;0.0;0.061;;0.011;0.005;0.2825454793113569;0.125791293878839;0.01904144487928861;0.01904144487928861;0.01904144487928861;0.1;3;0;0;0;
IRL;0.917;0.021;0.0;0.0;0.0;0.006;0.0;0.0;0.0;0.0;;0.0;0.056;0.008727371471159422;0.8310126362894611;0.008727371471159422;0.008727371471159422;0.008727371471159422;0.1;3;0;0;0;
IRN;0.39;0.005;0.0;0.0;0.0;0.594;0.0;0.0;0.0;0.004;;0.0;0.007;0.2266428175824182;0.3086895848615376;0.2266428175824182;0.2266428175824182;0.2266428175824182;0.1;3;0;0;0;
IRQ;0.212;0.0;0.0;0.0;0.0;0.784;0.0;0.0;0.0;0.001;;0.0;0.003;0.19670348303811871;0.35008334028209165;0.0;0.0;0.0;0.1;3;0;0;0;
ISL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
ISR;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.00125;0.9619767763641373;0.001215818978588676;0.001215818978588676;0.001215818978588676;0.1;3;0;0;0;
ITA;0.993;0.007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.007;0.005004447609051927;0.7842181343688555;0.004870999145198496;0.004870999145198496;0.004870999145198496;0.1;3;0;0;0;
JAM;0.284;0.514;0.068;0.0;0.0;0.122;0.0;0.0;0.0;0.001;;0.0;0.011;;0.12089759952134439;;;;0.1;3;0;0;0;
JOR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.07199151850507661;0.7000728191112912;0.07199151850507661;0.07199151850507661;0.07199151850507661;0.1;3;0;0;0;
JPN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
KAZ;0.682;0.091;0.003;0.0;0.0;0.222;0.0;0.0;0.0;0.0;;0.0;0.001;0.1546608649307208;0.5496431809368854;0.1382926196899594;0.1382926196899594;0.1382926196899594;0.1;3;0;0;0;
KEN;0.2155;0.14900000000000002;0.0545;0.023;0.008;0.372;0.14950000000000002;0.005;0.0;0.010499999999999999;;0.0125;0.0005;0.2293106521882912;0.05002701893429963;0.0;0.0;0.0;0.1;3;0;0;0;
KGZ;0.477;0.023;0.061;0.0;0.001;0.438;0.0;0.0;0.0;0.0;;0.0;0.0;0.46268538866637887;0.39987756718016293;0.0;0.0;0.0;0.1;3;0;0;0;
KHM;0.359;0.591;0.0;0.008;0.0;0.0;0.0;0.0;0.003;0.04;;0.0;0.0;0.2360855180200375;0.21093754556741331;0.0;0.0;0.0;0.1;3;0;0;0;
KIR;0.064;0.538;0.036;0.015;0.0;0.008;0.004;0.0;0.0;0.257;;0.0;0.002;0.2144192075493426;0.03153723609478983;0.0;0.0;0.0;0.1;3;0;0;0;
KOR;0.901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
KWT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.9999863092389457;0.0;0.0;0.0;0.1;3;0;0;0;
LBN;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
LBR;0.007;0.2175;0.0515;0.0075;0.001;0.055;0.047;0.003;0.03;0.106;;0.0015;0.4735;;;;;;0.1;3;0;0;0;
LBY;0.542;0.068;0.0;0.0;0.358;0.0;0.0;0.0;0.0;0.0;;0.0;0.032;;;;;;0.1;3;0;0;0;
LCA;0.11;0.738;0.0;0.0;0.002;0.084;0.0;0.011;0.0;0.052;;0.0;0.003;;;;;;0.1;3;0;0;0;
LKA;0.0;0.0;0.0;0.0;0.0;0.947;0.0;0.0;0.0;0.0;;0.0;0.052;;;;;;0.1;3;0;0;0;
LSO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.066;;0.0;0.934;0.38550727462820567;0.008923154293339605;0.0;0.0;0.0;0.1;3;0;0;0;
LTU;0.973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.027;0.0;0.9750754504191579;0.0;0.0;0.0;0.1;3;0;0;0;
LUX;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.8699232851999e-05;0.9644294544994235;1.8552811641824e-05;1.8552811641824e-05;1.8552811641824e-05;0.1;3;0;0;0;
LVA;0.969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.031;;;;;;0.1;3;0;0;0;
MAC;0.929;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;;0.0;0.064;0.0;0.6812210975427252;0.0;0.0;0.0;0.1;3;0;0;0;
MAF;0.595;0.4;0.003;0.0;0.0;0.002;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
MAR;0.4475;0.0155;0.0;0.0;0.0;0.0355;0.0;0.0;0.0;0.0015;;0.0;0.5;0.01220095665109576;0.32687975024578747;0.005195936628079343;0.005195936628079343;0.005195936628079343;0.1;3;0;0;0;
MCO;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;3;0;0;0;
MDA;0.786;0.178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.036;0.08621249720741618;0.6765161300244397;0.08364152692398155;0.08364152692398155;0.08364152692398155;0.1;3;0;0;0;
MDG;0.026;0.201;0.018;0.003;0.003;0.315;0.282;0.01;0.004;0.132;;0.001;0.004;0.1583954278530916;0.004813292607600985;0.0;0.0;0.0;0.1;3;0;0;0;
MDV;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;Does not add up to 100%
MEX;0.909;0.076;0.0;0.007;0.0;0.004;0.0;0.0;0.0;0.002;;0.0;0.002;0.019479477060078562;0.617371104477226;0.01400990315464542;0.01400990315464542;0.01400990315464542;0.1;3;0;0;0;
MHL;0.753;0.151;0.003;0.0;0.001;0.002;0.0;0.031;0.0;0.059;;0.0;0.0;;;;;;0.1;3;0;0;0;
