alpha3,scenario,year,fractionUrban
NAM,SSP1,2025,0.505
NAM,SSP1,2030,0.535
NAM,SSP1,2050,0.642
NAM,SSP1,2100,0.812
NPL,SSP1,2025,0.245
NPL,SSP1,2030,0.275
NPL,SSP1,2050,0.403
NPL,SSP1,2100,0.697
NLD,SSP1,2025,0.914
NLD,SSP1,2030,0.925
NLD,SSP1,2050,0.959
NLD,SSP1,2100,0.999
NCL,SSP1,2025,0.734
NCL,SSP1,2030,0.752
NCL,SSP1,2050,0.804
NCL,SSP1,2100,0.91
NZL,SSP1,2025,0.904
NZL,SSP1,2030,0.916
NZL,SSP1,2050,0.953
NZL,SSP1,2100,0.998
NIC,SSP1,2025,0.644
NIC,SSP1,2030,0.667
NIC,SSP1,2050,0.743
NIC,SSP1,2100,0.848
NER,SSP1,2025,0.228
NER,SSP1,2030,0.252
NER,SSP1,2050,0.357
NER,SSP1,2100,0.634
NGA,SSP1,2025,0.534
NGA,SSP1,2030,0.564
NGA,SSP1,2050,0.674
NGA,SSP1,2100,0.827
NIU,SSP1,2025,0.469
NIU,SSP1,2030,0.497
NIU,SSP1,2050,0.604
NIU,SSP1,2100,0.791
MKD,SSP1,2025,0.646
MKD,SSP1,2030,0.669
MKD,SSP1,2050,0.744
MKD,SSP1,2100,0.849
MNP,SSP1,2025,0.941
MNP,SSP1,2030,0.949
MNP,SSP1,2050,0.978
MNP,SSP1,2100,1.0
NOR,SSP1,2025,0.822
NOR,SSP1,2030,0.831
NOR,SSP1,2050,0.868
NOR,SSP1,2100,0.967
OMN,SSP1,2025,0.807
OMN,SSP1,2030,0.821
OMN,SSP1,2050,0.871
OMN,SSP1,2100,0.971
PAK,SSP1,2025,0.432
PAK,SSP1,2030,0.459
PAK,SSP1,2050,0.567
PAK,SSP1,2100,0.772
PLW,SSP1,2025,0.788
PLW,SSP1,2030,0.799
PLW,SSP1,2050,0.837
PLW,SSP1,2100,0.947
PSE,SSP1,2025,0.786
PSE,SSP1,2030,0.798
PSE,SSP1,2050,0.836
PSE,SSP1,2100,0.946
PAN,SSP1,2025,0.714
PAN,SSP1,2030,0.734
PAN,SSP1,2050,0.79
PAN,SSP1,2100,0.897
PNG,SSP1,2025,0.187
PNG,SSP1,2030,0.21
PNG,SSP1,2050,0.312
PNG,SSP1,2100,0.592
PRY,SSP1,2025,0.666
PRY,SSP1,2030,0.688
PRY,SSP1,2050,0.761
PRY,SSP1,2100,0.867
PER,SSP1,2025,0.803
PER,SSP1,2030,0.813
PER,SSP1,2050,0.847
PER,SSP1,2100,0.956
PHL,SSP1,2025,0.536
PHL,SSP1,2030,0.562
PHL,SSP1,2050,0.661
PHL,SSP1,2100,0.813
POL,SSP1,2025,0.68
POL,SSP1,2030,0.701
POL,SSP1,2050,0.767
POL,SSP1,2100,0.868
PRT,SSP1,2025,0.68
PRT,SSP1,2030,0.701
PRT,SSP1,2050,0.772
PRT,SSP1,2100,0.871
PRI,SSP1,2025,0.969
PRI,SSP1,2030,0.978
PRI,SSP1,2050,0.995
PRI,SSP1,2100,1.0
QAT,SSP1,2025,0.995
QAT,SSP1,2030,0.997
QAT,SSP1,2050,0.999
QAT,SSP1,2100,1.0
ROU,SSP1,2025,0.615
ROU,SSP1,2030,0.64
