scenario,year,alpha3,cattle,cattle_i,cattle_fgi,cattle_fge,cattle_foi,cattle_foe,cattle_e,buffaloes,buffaloes_i,buffaloes_fgi,buffaloes_fge,buffaloes_foi,buffaloes_foe,buffaloes_e,pigs,pigs_i,pigs_fgi,pigs_fge,pigs_foi,pigs_foe,pigs_e,poultry,poultry_i,poultry_fgi,poultry_fge,poultry_foi,poultry_foe,poultry_e,sheep,sheep_i,sheep_fgi,sheep_fge,sheep_foi,sheep_foe,sheep_e,goats,goats_i,goats_fgi,goats_fge,goats_foi,goats_foe,goats_e,horses,horses_i,horses_fgi,horses_fge,horses_foi,horses_foe,horses_e,asses,asses_i,asses_fgi,asses_fge,asses_foi,asses_foe,asses_e,mules,mules_i,mules_fgi,mules_fge,mules_foi,mules_foe,mules_e,camels,camels_i,camels_fgi,camels_fge,camels_foi,camels_foe,camels_e
SSP4,2100,AZE,757997,1.0,0.6,1.0,0.08,0.08,0.0,242294,1.0,0.5,1.0,0.08,0.08,0.0,5650,1.0,0.0,1.0,0.0,0.0,0.0,40567255,1.0,0.0,1.0,0.0,0.0,0.0,6304649,1.0,0.9,1.0,0.0,0.0,0.0,367075,1.0,0.9,1.0,0.0,0.0,0.0,73741,1.0,0.9,1.0,0.0,0.0,0.0,35816,1.0,0.9,1.0,0.0,0.0,0.0,103,1.0,0.9,1.0,0.0,0.0,0.0,242,1.0,0.9,1.0,0.0,0.0,0.0
SSP4,2100,BDI,850023,0.607,0.75,0.95,0.0,0.0,0.393,0,0.37,0.65,0.95,0.0,0.0,0.63,734929,1.0,0.0,1.0,0.0,0.0,0.0,3474630,1.0,0.0,1.0,0.0,0.0,0.0,977221,0.888,0.85,0.9,0.0,0.0,0.112,6242462,0.888,0.85,0.9,0.0,0.0,0.112,0,0.54,0.85,0.9,0.0,0.0,0.46,0,0.54,0.85,0.9,0.0,0.0,0.46,0,0.54,0.85,0.9,0.0,0.0,0.46,0,0.54,0.85,0.9,0.0,0.0,0.46
SSP4,2100,BEL,1792345,1.0,0.6,0.9,0.0,0.0,0.0,0,1.0,0.4,0.9,0.0,0.0,0.0,5369181,1.0,0.0,1.0,0.0,0.0,0.0,44604033,1.0,0.0,1.0,0.0,0.0,0.0,71847,1.0,0.9,1.0,0.0,0.0,0.0,49168,1.0,0.9,1.0,0.0,0.0,0.0,34290,1.0,0.9,1.0,0.0,0.0,0.0,2,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
SSP4,2100,BEN,2025994,0.849,0.6,0.95,0.0,0.0,0.151,0,0.37,0.45,0.95,0.0,0.0,0.63,716632,1.0,0.0,1.0,0.0,0.0,0.0,34777876,1.0,0.0,1.0,0.0,0.0,0.0,1584990,0.891,0.85,0.9,0.0,0.0,0.109,2298770,0.891,0.85,0.9,0.0,0.0,0.109,1143,0.54,0.85,0.9,0.0,0.0,0.46,620,0.54,0.85,0.9,0.0,0.0,0.46,0,0.54,0.85,0.9,0.0,0.0,0.46,0,0.54,0.85,0.9,0.0,0.0,0.46
SSP4,2100,BFA,9466598,0.849,0.6,0.95,0.0,0.0,0.151,0,0.37,0.45,0.95,0.0,0.0,0.63,3749709,1.0,0.0,1.0,0.0,0.0,0.0,78038467,1.0,0.0,1.0,0.0,0.0,0.0,17779040,0.891,0.85,0.9,0.0,0.0,0.109,16662783,0.891,0.85,0.9,0.0,0.0,0.109,40395,0.54,0.85,0.9,0.0,0.0,0.46,1159571,0.54,0.85,0.9,0.0,0.0,0.46,0,0.54,0.85,0.9,0.0,0.0,0.46,18727,0.54,0.85,0.9,0.0,0.0,0.46
SSP4,2100,BGD,43447876,0.732,0.2,0.5,0.7,0.7,0.268,1464000,0.93,0.1,0.5,0.7,0.7,0.07,0,1.0,0.0,1.0,0.2,0.2,0.0,402134888,1.0,0.0,1.0,0.05,0.05,0.0,9707171,0.847,0.45,0.5,0.0,0.0,0.153,67442829,0.847,0.45,0.5,0.0,0.0,0.153,0,0.6,0.45,0.5,0.0,0.0,0.4,0,0.6,0.45,0.5,0.0,0.0,0.4,0,0.6,0.45,0.5,0.0,0.0,0.4,0,0.6,0.45,0.5,0.0,0.0,0.4
SSP4,2100,BGR,268669,1.0,0.6,1.0,0.08,0.08,0.0,9555,1.0,0.4,1.0,0.08,0.08,0.0,449060,1.0,0.0,1.0,0.0,0.0,0.0,19430953,1.0,0.0,1.0,0.0,0.0,0.0,1708454,1.0,0.9,1.0,0.0,0.0,0.0,252059,1.0,0.9,1.0,0.0,0.0,0.0,49503,1.0,0.9,1.0,0.0,0.0,0.0,8929,1.0,0.9,1.0,0.0,0.0,0.0,932,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
SSP4,2100,BHR,7931,0.736,0.35,0.95,0.18,0.18,0.264,0,0.96,0.15,0.95,0.18,0.18,0.04,0,1.0,0.0,1.0,0.0,0.0,0.0,714598,1.0,0.0,1.0,0.0,0.0,0.0,93948,0.98,0.5,0.9,0.0,0.0,0.02,36535,0.98,0.5,0.9,0.0,0.0,0.02,0,0.92,0.5,0.9,0.0,0.0,0.08,0,0.92,0.5,0.9,0.0,0.0,0.08,0,0.92,0.5,0.9,0.0,0.0,0.08,1055,0.92,0.5,0.9,0.0,0.0,0.08
SSP4,2100,BHS,73,0.632,0.7,0.95,0.0,0.0,0.368,0,0.75,0.45,0.95,0.0,0.0,0.25,5707,1.0,0.0,1.0,0.0,0.0,0.0,3237785,1.0,0.0,1.0,0.0,0.0,0.0,8573,0.72,0.9,0.95,0.0,0.0,0.28,19686,0.72,0.9,0.95,0.0,0.0,0.28,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP4,2100,BIH,216294,1.0,0.6,1.0,0.08,0.08,0.0,0,1.0,0.4,1.0,0.08,0.08,0.0,458101,1.0,0.0,1.0,0.0,0.0,0.0,29573022,1.0,0.0,1.0,0.0,0.0,0.0,1245887,1.0,0.9,1.0,0.0,0.0,0.0,70477,1.0,0.9,1.0,0.0,0.0,0.0,16604,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
